segmentId,name_vn,lat_start,lon_start,lat_end,lon_end,laneCount_aggregated,speedLimit,frc,roadType,surface,oneway,width,ref,busRoute,bicycleLane,sidewalk,bridgeTunnel,maxHeight,maxWeight,barrier,lit,crossing,curvatureIndex,bearing,lengthKm,intersectionCount,routeSlopePercent,startElevation,endElevation
33659cfa335ae26ebb27ec2d943d073d,Nguyễn Văn Trỗi,10.7985035,106.6707041,10.7941581,106.6777789,1.0,50.0,,,,,,,,,,,,,,,,0.01142,122.01609202290058,0.9108597819174742,4,0.3293591461118882,23.0,26.0
9a4bdd7e2e9674279af5d086d2f1ef93,Phường Bến Nghé,10.780376,106.6984933,10.7803753,106.6984806,1.0,50.0,,,,,,,,,,,,,,,,1.3e-05,266.7885969523263,0.0013911258183824564,4,0.0,33.0,33.0
dbfcdececbdb5cc1cb6b4cde2cc7c4a5,Đường CN2,10.8155285,106.6245997,10.8155179,106.62442,1.0,50.0,,,,,,,,,,,,,,,,0.00019,266.56330518627846,0.01968603277746857,3,0.0,24.0,24.0
aef549c188f0d96af305bf3dd1f54ee4,Đồng Đen,10.7969579,106.6458983,10.7889094,106.6428981,1.0,50.0,,,,,,,,,,,,,,,,0.011049,200.111547844639,0.9488090414662368,5,-1.1593481426991052,26.0,15.0
aba4377b4889f81082fabd3c38f70d04,Phạm Văn Đồng,10.8529635,106.7511033,10.8667147,106.7620017,1.0,50.0,,,,,,,,,,,,,,,,0.02465,37.894312698709484,1.9322557915437235,5,1.2938245603614895,8.0,33.0
a4c90c784cfbf59a11a71a9a246039ef,Tân Chánh Hiệp 2,10.8745351,106.629111,10.8750882,106.6270618,1.0,50.0,,,,,,,,,,,,,,,,0.002602,285.3682390176224,0.23224917179916812,5,-0.4305720413352974,28.0,27.0
f8ee7133cfe997e68f6ffe6ccfe071fa,Lê Quý Đôn,10.8838307,106.8004621,10.8810953,106.8015806,1.0,50.0,,,,,,,,,,,,,,,,0.003854,158.12222596085064,0.3263502104272695,4,-0.30641929070331037,28.0,27.0
6aa424afd411c43e24ad14f2ace416fc,Nguyễn Hậu,10.7872262,106.6346835,10.7874845,106.634782,1.0,50.0,,tertiary,asphalt,,,,,,,,,,,,,0.000357,20.53597660942978,0.030534735700569363,2,0.0,6.0,6.0
9b9a42701084d0694727416cc278fafe,Quốc lộ 22,10.8466302,106.6128986,10.843027,106.6149651,1.0,50.0,,,,,,,,,,,,,,,,0.00567,150.60832534104406,0.4581597152941971,4,-0.218264497427032,13.0,12.0
7c3f006884ec418918d5f7736a3a07ff,Ngô Gia Tự,10.7669024,106.6738588,10.7671362,106.6740191,1.0,50.0,,,,,,,,,,,,,,,,0.000394,33.962545986797295,0.03124409812734309,1,6.401208931838911,24.0,26.0
e07e8c19221f5933646ec3392d1e357e,Phạm Văn Đồng,10.8395571,106.7384111,10.8353219,106.7301125,1.5,50.0,,primary,asphalt,yes,,,,,,yes,,,,,,0.012534,242.5435457356425,1.0212190804817276,5,1.762599264352667,12.0,30.0
6bf7cd756f6d8d56e519299551a7a4cc,Cầu Sài Gòn 1,10.7997621,106.7319201,10.7981356,106.7225975,1.0,50.0,,,,,,,,,,,,,,,,0.010949,259.92937659445084,1.0352809505980494,5,-0.9659213756636121,25.0,15.0
2c63fbf4dc77cb37ee333f4e25e765f7,Xa Lộ Hà Nội,10.8453128,106.7715728,10.8329768,106.7645442,1.5,55.0,,trunk,asphalt,yes,,,,,,,,,,yes,,0.019365,209.23195657131785,1.5660814117432464,5,0.638536408453296,21.0,31.0
