segmentId,name_vn,lat_start,lon_start,lat_end,lon_end,laneCount_aggregated,speedLimit,frc,roadType,surface,oneway,width,ref,currentSpeed,freeFlowSpeed,jamFactor,congestionIndex,trafficVolume,occupancy,incidentFlag,LOS,crossTime,busRoute,bicycleLane,sidewalk,bridgeTunnel,maxHeight,maxWeight,barrier,lit,crossing,curvatureIndex,bearing,lengthKm,timeStamp,dayOfWeek,speedLimitRatio,relativeCongestionIndex,routeSlopePercent,intersectionCount,hourOfDay,dayType
348b6c53508366be7fb2d3d6e71b15c4,Đường Tây Hòa,10.8261485,106.7641935,10.8262034,106.7621148,2.0,40.0,FRC1,secondary,asphalt,,,,50.0,50.0,0.0,1.0,720.0,0.0,0,A,0.036,,,,,,,,,,0.002134,271.5404689633347,0.2273892128899462,2603090757,0,1.25,0.0,-0.8795491987423243,5,7,Weekday
669b4f82a96054836defd912dade0401,Đường Kha Vạn Cân,10.8414243,106.7439592,10.8529635,106.7511033,1.5,50.0,FRC2,primary,asphalt,yes,,,32.5,43.5,0.0,0.7471264367816092,1222.76,25.287356321839084,0,B,0.05538461538461539,,,,,,,,,,0.018683,31.301175742073156,1.496459127613246,2603090757,0,0.65,0.25287356321839083,-0.7350685225559269,5,7,Weekday
80727db3633fbc28d7a447c9e2d85d3f,Đường Âu Dương Lân,10.7482816,106.6817654,10.7479796,106.6819277,2.0,50.0,FRC3,tertiary,asphalt,,,,25.5,34.0,0.0,0.75,1620.0,25.0,0,B,0.07058823529411765,,,,,,,,,,0.000464,152.1664224190729,0.03782913150248692,2603090757,0,0.51,0.25,-2.6434653936854433,1,7,Weekday
413e109f5978d8f37bd40bd818e0401a,Đường Trần Quốc Thảo,10.7827317,106.6868337,10.7815324,106.6881451,2.0,50.0,FRC2,secondary,asphalt,,,,17.0,31.0,0.0,0.5483870967741935,2345.81,45.16129032258065,0,C,0.10588235294117647,,,,,,,,,,0.002511,132.9520058875794,0.1953680062232221,2603090757,0,0.34,0.45161290322580644,0.5118545351061359,2,7,Weekday
0286d59f234561443404a3cb43f94964,Đường Nguyễn Văn Nghi,10.8263771,106.6800231,10.8265667,106.6798028,1.5,50.0,FRC4,residential,asphalt,,,,9.5,22.0,0.0,0.4318181818181818,2074.09,56.81818181818181,0,D,0.18947368421052632,,,,,,,,,,0.00041,311.22619785304016,0.03194005353568774,2603090757,0,0.19,0.5681818181818182,-3.130865134219844,3,7,Weekday
f92b3d0350a5ebeec92b2332dd10257e,Đường Nguyễn Oanh,10.8506971,106.6787535,10.8308983,106.6775689,1.0,50.0,FRC3,primary,asphalt,yes,,,23.5,35.0,0.0,0.6714285714285714,951.43,32.85714285714286,0,C,0.07659574468085106,,,,yes,,,,,,0.020983,183.3631800913753,2.1938431370426437,2603090757,0,0.47,0.32857142857142857,0.4102389933006891,3,7,Weekday
73318dff2dc6874661d0bafd247488a4,Đường Phạm Văn Chiêu,10.8541753,106.665484,10.8523298,106.6602254,1.5,50.0,FRC1,secondary,asphalt,,,,37.0,49.0,0.0,0.7551020408163265,1201.22,24.489795918367353,0,B,0.04864864864864865,,,,,,,,,,0.007104,250.33661357697443,0.6101445353024589,2603090757,0,0.74,0.24489795918367346,-1.147269146077,4,7,Weekday
5a7e5839041549c6fb45086cda5cf4ee,Đường Đinh Tiên Hoàng,10.7780742,106.685171,10.7903743,106.697507,3.5,55.0,FRC2,primary,asphalt,yes,,,26.0,38.5,0.0,0.6753246753246753,3305.45,32.467532467532465,0,C,0.06923076923076923,,,,,,,,,,0.024636,44.57187686309544,1.9160608930945036,2603090757,0,0.4727272727272727,0.3246753246753247,-0.31314244874074937,3,7,Weekday
61c36bba58e63f03d429f5069ede8f46,Đường Quốc Lộ 1A,10.8614957,106.6652403,10.8614424,106.6653095,2.0,80.0,FRC1,trunk,,yes,,QL.1,37.0,49.0,0.0,0.7551020408163265,1601.63,24.489795918367353,0,B,0.04864864864864865,,,,yes,,,,,,0.000123,128.10641281392958,0.009592023557221021,2603090757,0,0.4625,0.24489795918367346,0.0,3,7,Weekday
845ae7048313c76a2823b14517852eea,Đường Trần Hưng Đạo,10.7598239,106.6940131,10.763051,106.6908753,2.0,50.0,FRC2,tertiary,asphalt,,,,29.5,33.0,0.0,0.8939393939393939,1101.82,10.606060606060607,0,B,0.06101694915254237,,,,,,,,,,0.006365,316.312060231861,0.4951796481750454,2603090757,0,0.59,0.10606060606060606,0.0,5,7,Weekday
