roadType,laneCount,speedLimit,surface,oneway,bridgeTunnel,name_vn,bearing,length_m,currentSpeed,freeFlowSpeed,jamFactor,congestionIndex,LOS,timeStamp,incidentFlag
,1,50,,,0,Đường Bàu Cát,289.5947603575444,225.18259324643097,22,31,0,0.7096774193548387,B,2602201802,0
,1,50,,,0,Đường Bình Lợi,162.22096602415343,40.12322899786904,42,42,0,1.0,A,2602201802,0
service,1,50,,,0,,235.8326464681984,472.9581843642002,19,30,0,0.6333333333333333,C,2602201802,0
service,1,50,concrete,,0,Đường Bình Thới,236.26901616135623,482.8628922120954,29,29,0,1.0,A,2602201802,0
residential,1,50,concrete,,0,,244.19521194234824,209.1054654449474,19,30,0,0.6333333333333333,C,2602201802,0
,1,50,,,0,,190.67423595107397,3.87295584348513,24,30,0,0.8,B,2602201802,0
,1,50,,,0,Hẻm 205 Nguyễn Trãi,30.74701584553543,4968.175803640265,19,27,0,0.7037037037037037,B,2602201802,0
residential,1,50,asphalt,,0,Đường Lê Văn Sỹ,156.27286120240217,64.68620494551222,29,37,0,0.7837837837837838,B,2602201802,0
tertiary,2,50,asphalt,,0,Đường Bưng Ông Thoàn,334.20861201481137,69.7057747776749,41,41,0,1.0,A,2602201802,0
tertiary,1,50,asphalt,,0,Đường Bưng Ông Thoàn,326.18398155756336,35.112199356267595,25,31,0,0.8064516129032258,B,2602201802,0
primary,2,50,asphalt,yes,0,Đường Nguyễn Thái Sơn,110.08146676459216,3703.917091720434,42,42,0,1.0,A,2602201802,0
primary,3,50,asphalt,yes,0,,274.35166508503977,583.134153695524,23,31,0,0.7419354838709677,B,2602201802,0
,1,50,,,0,Hẻm 234 Bạch Đằng,285.3627530997404,4437.46787089511,23,31,0,0.7419354838709677,B,2602201802,0
,1,50,,,0,Đường Năm Châu,24.699055633744365,36.42081263056388,22,31,0,0.7096774193548387,B,2602201802,0
primary_link,1,50,asphalt,yes,0,Đường Bắc Hải,43.395924985332215,398.3423747729099,29,29,0,1.0,A,2602201802,0
,1,50,,,0,,43.059626313848526,391.6559967136013,33,33,0,1.0,A,2602201802,0
,1,50,,,0,,40.865421003904544,259.7301974011401,33,33,0,1.0,A,2602201802,0
primary,3,50,asphalt,yes,1,,0.0,0.0,29,29,0,1.0,A,2602201802,0
,1,50,,,0,Đường Bến Cát,144.7177823037572,10.97242686552452,27,35,0,0.7714285714285715,B,2602201802,0
,1,50,,,0,Đường Võ Văn Kiệt,285.56489638150265,554.7824487741711,42,42,0,1.0,A,2602201802,0
,1,50,,,0,Hẻm 303 Bến Vân Đồn,238.28655828150204,234.92180643664156,33,33,0,1.0,A,2602201802,0
,1,50,,,0,,205.9490082295016,760.2821277901594,24,34,0,0.7058823529411765,B,2602201802,0
,1,50,,,0,Đường Calmette,322.22346787339814,365.47629352692815,23,30,0,0.7666666666666667,B,2602201802,0
,1,50,,,0,Đường Cao Thắng,131.56504300233155,207.55181910972289,15,27,0,0.5555555555555556,C,2602201802,0
,1,50,,,0,Đường Cao Thắng,311.8049441255227,97.7743213661992,15,27,0,0.5555555555555556,C,2602201802,0
,1,50,,,0,Đường Vạn Kiếp,234.27971319655455,167.49815487867772,23,30,0,0.7666666666666667,B,2602201802,0
,1,50,,,0,Đường Cao Tốc Thành phố Hồ Chí Minh-Long Thành-Dầu Giây,278.93799658729563,375.0152464045413,44,76,0,0.5789473684210527,C,2602201802,0
,1,50,,,0,,282.39005384390634,901.9522713396656,44,76,0,0.5789473684210527,C,2602201802,0
,1,50,,,0,,282.00005966441097,1012.8045840760168,44,76,0,0.5789473684210527,C,2602201802,0
,1,50,,,0,Đường Cao Tốc Thành phố Hồ Chí Minh-Long Thành-Dầu Giây,280.61671619630533,992.7628581369672,44,76,0,0.5789473684210527,C,2602201802,0
,1,50,,,0,Đường Cao Tốc Thành phố Hồ Chí Minh-Long Thành-Dầu Giây,279.6956547140675,686.0318053816734,44,76,0,0.5789473684210527,C,2602201802,0
,1,50,,,0,Đường Cao Tốc Thành phố Hồ Chí Minh-Long Thành-Dầu Giây,279.86102662296645,719.5498864707181,44,76,0,0.5789473684210527,C,2602201802,0
