segmentId,name_vn,lat_start,lon_start,lat_end,lon_end,laneCount_aggregated,speedLimit,frc,roadType,surface,oneway,ref,curvatureIndex,bearing,lengthKm,intersectionCount,routeSlopePercent,startElevation,endElevation,timeStamp,dayOfWeek,hourOfDay,dayType,currentSpeed,freeFlowSpeed,jamFactor,incidentFlag,congestionIndex,trafficVolume,LOS,occupancy,crossTime,speedLimitRatio,relativeCongestionIndex,route_distance_m,route_duration_sec,route_weight,congestion_levels,map_match_confidence
db8992c620d36987239bba1962cdfc4d,Phường 13,10.8345705,106.7008658,10.8592742,106.6514144,1.0,50.0,,,asphalt,no,,0.074155,296.9644883975819,6.058435394456935,5,-0.39614188214268,29.0,5.0,2604041816,5,18,Weekend,31.5,45.0,0.0,0,0.7,900.0,B,30.000000000000004,0.692392616509364,0.63,0.3,9514.4,1825.287,1879.938,[],0.0
a7c3f9d711cf939db279fdcfb5ff8d0d,Công Trường Dân Chủ,10.7775778,106.6815724,10.7775778,106.6815724,1.0,50.0,,,asphalt,no,,0.0,0.0,0.0,5,0.0,13.0,13.0,2604041816,5,18,Weekend,20.0,34.0,0.0,0,0.5882352941176471,1101.18,C,41.17647058823529,0.0,0.4,0.4117647058823529,0.0,0.0,0.0,[],0.0
d0387cf978c41b8e86b4a57ea1fc3f55,Nguyễn Lương Bằng nối dài,10.7087139,106.7318964,10.7130973,106.7314656,1.0,50.0,,,asphalt,no,,0.004814,354.48422796174646,0.4871443067250075,5,1.0263899076670304,24.0,29.0,2604041816,5,18,Weekend,24.0,37.0,0.0,0,0.6486486486486487,992.43,C,35.13513513513513,0.07307164600875113,0.48,0.35135135135135137,515.138,101.258,96.621,[],0.98287
d7bfc7525cd1edc14da4d3696f6fcac3,Lê Văn Thọ,10.8365053,106.6583227,10.8364665,106.658324,1.0,50.0,,,asphalt,no,,4e-05,178.11520877843338,0.0042941586231868,1,0.0,19.0,19.0,2604041816,5,18,Weekend,23.0,35.0,0.0,0,0.6571428571428571,977.14,C,34.285714285714285,0.0006721291758031514,0.46,0.34285714285714286,0.0,0.0,0.0,[],0.115809
f1f8a3020a67de846fb9e86ae878e8ee,Phường Linh Đông,10.8413507,106.7438935,10.8408414,106.7442274,1.0,50.0,,,asphalt,no,,0.000843,147.22228608573516,0.0671320009381412,1,0.0,19.0,19.0,2604041816,5,18,Weekend,31.0,43.5,0.0,0,0.7126436781609196,877.24,B,28.735632183908045,0.007795974302493817,0.62,0.28735632183908044,82.126,26.784,31.97,[],0.000889
08e4e553fc72136a576a8e051427df26,Thích Quảng Đức,10.8082313,106.6785195,10.8033105,106.684482,1.0,50.0,,,asphalt,no,,0.010883,130.03605979400584,0.8493751546363333,5,0.117733606232944,11.0,12.0,2604041816,5,18,Weekend,18.0,30.5,0.0,0,0.5901639344262295,1097.7,C,40.98360655737705,0.16987503092726666,0.36,0.4098360655737705,857.127,203.747,218.922,[],0.985507
033c171ecff68464c518dc3afc93f707,Phường Linh Xuân,10.8708535,106.7757156,10.8728261,106.7669177,1.0,50.0,,,asphalt,no,,0.010771,282.8616181622988,0.986351003305546,4,-0.7096865088128858,20.0,13.0,2604041816,5,18,Weekend,35.0,41.0,0.0,0,0.8536585365853658,623.41,B,14.634146341463417,0.10145324605428474,0.7,0.14634146341463414,1058.706,146.267,153.531,[],0.662692
f3b77211e4a2df3a18a8db9e5af46cf9,Vòng xoay Mỹ Thủy,10.7697992,106.7748933,10.7698665,106.7748651,1.5,55.0,,primary,asphalt,yes,,9.6e-05,337.62604497054826,0.008057899480913,3,0.0,8.0,8.0,2604041816,5,18,Weekend,49.0,49.0,0.0,0,1.0,540.0,A,0.0,0.0005920089414548327,0.8909090909090909,0.0,154.989,43.284,48.635,[],0.0
7aee36778afb77c0ca97a1d38825b797,Nguyễn Huệ,10.7719889,106.7062982,10.7719977,106.7061791,1.0,50.0,,,asphalt,no,,0.000128,274.30129062650417,0.0130623677204043,5,0.0,32.0,32.0,2604041816,5,18,Weekend,17.5,29.5,0.0,0,0.5932203389830508,1092.2,C,40.67796610169492,0.0026871156453403136,0.35,0.4067796610169492,35.241,14.484,13.303,[],1.1e-05
dda3a3119514ffc33eb07addfd018b70,Nguyễn Thông,10.7778272,106.6849154,10.7759864,106.6869946,1.0,50.0,,,asphalt,no,,0.00392,132.0261162413836,0.3052382922198964,1,0.0,16.0,16.0,2604041816,5,18,Weekend,24.0,32.5,0.0,0,0.7384615384615385,830.77,B,26.15384615384615,0.04578574383298446,0.48,0.26153846153846155,313.378,78.552,80.46,[],0.980486
