fs_method,family,algorithm,params,n_clusters,silhouette,davies_bouldin,calinski_harabasz,ARI,NMI,accuracy_majority,MAE,RMSE,n_points,noise_ratio,largest_cluster_ratio,min_cluster_size,largest_cluster_size,gate_reason,gate_pass,silhouette_norm,davies_bouldin_norm,ARI_norm,NMI_norm,RMSE_norm,weighted_score,pareto_front
MI,model,GMM,"{'n_components': 17, 'covariance_type': 'tied'}",17,0.29037030355052373,1.3319126518136588,270.4256566679656,0.17352051809235053,0.34189513859379916,0.5746835443037974,0.590379746835443,1.003790285223393,1975,0.0,0.2,8,395,min_cluster_size<10,False,0.5548721246108578,0.7430336657997874,0.4252484208494204,0.680032559550041,0.5763762050260401,0.5737653111727519,False
MI,model,GMM,"{'n_components': 17, 'covariance_type': 'diag'}",17,0.29146135689251274,1.7276706059616862,254.9819057585988,0.17430792463698574,0.3380509036586025,0.5645569620253165,0.7012658227848101,1.1763492119070893,1975,0.0,0.20354430379746835,2,402,min_cluster_size<10,False,0.555726785055202,0.660447631826271,0.42717405771336625,0.6723410429260455,0.5035521615435787,0.5463539442137053,False
MI,model,GMM,"{'n_components': 17, 'covariance_type': 'spherical'}",17,0.2898252032246622,1.5419226771138088,310.8422610820252,0.18454753739234905,0.3907328143983294,0.6410126582278481,0.4881012658227848,0.9239431184201489,1975,0.0,0.1448101265822785,44,286,,True,0.5544451283598187,0.6992091642264595,0.45221547491849323,0.7777466175251772,0.610073641947918,0.5952232464719072,False
MI,model,GMM,"{'n_components': 19, 'covariance_type': 'full'}",19,0.29526587269149374,1.3830852903346538,271.6289398766993,0.19280151317965916,0.37739084712433085,0.6045569620253165,0.5245569620253164,0.9140257315714276,1975,0.0,0.18329113924050633,6,362,min_cluster_size<10,False,0.558706996047768,0.7323550547469602,0.47240093077792383,0.7510521087829545,0.6142590192273416,0.6031398600813784,False
MI,model,GMM,"{'n_components': 19, 'covariance_type': 'tied'}",19,0.2624687784543696,1.3269691341042789,264.4023459354858,0.1684579557411397,0.33963166424178887,0.5893670886075949,0.5513924050632911,0.9464122793643611,1975,0.0,0.1878481012658228,8,371,min_cluster_size<10,False,0.5330158789821272,0.7440652698830822,0.41286770499693487,0.6755038169263584,0.6005911122111917,0.5695244814584199,False
MI,model,GMM,"{'n_components': 19, 'covariance_type': 'diag'}",19,0.2988160270213019,1.3135095782208377,241.59228709280777,0.1755136760171594,0.34167537065011633,0.5665822784810126,0.6936708860759494,1.16401748649269,1975,0.0,0.2020253164556962,2,399,min_cluster_size<10,False,0.5614879567581517,0.7468739849772645,0.43012277502113466,0.6795928494852941,0.5087564481316503,0.5636239977405354,False
MI,model,GMM,"{'n_components': 19, 'covariance_type': 'spherical'}",19,0.2629263977329098,1.6442077228653036,266.4077947016549,0.16623677215699284,0.3769079850839612,0.6455696202531646,0.47443037974683544,0.9280440845050466,1975,0.0,0.12658227848101267,44,250,,True,0.5333743482529555,0.6778645110745078,0.4074357041831671,0.7500860020092515,0.6083429350049262,0.5710636770725798,False
ET,partition,KMeans,"{'k': 3, 'n_init': 10}",3,0.27791786619458586,1.41940451159956,681.4431584155994,0.23704949607853817,0.29383613103808065,0.48253164556962025,0.8698734177215189,1.3616817598799924,1975,0.0,0.4156962025316456,507,821,,True,0.5451176926007856,0.724776027187723,0.5806112925101865,0.5838764552071031,0.42533734071872686,0.5627975867807122,False
ET,partition,KMeans,"{'k': 3, 'n_init': 20}",3,0.2778193517830632,1.4192672114943736,681.4415800756575,0.23694751937407288,0.29383936339884337,0.48253164556962025,0.8703797468354431,1.3629825820557435,1975,0.0,0.41620253164556964,507,822,,True,0.5450405227984616,0.7248046787183686,0.580361904055493,0.5838829224904404,0.42478836227692474,0.562611419350195,False
ET,partition,KMeans,"{'k': 5, 'n_init': 10}",5,0.2849014062145403,1.4097967146217547,576.7371155849642,0.36597179467902047,0.4589034483154866,0.5918987341772152,0.5691139240506329,0.9720134395070258,1975,0.0,0.3179746835443038,248,628,,True,0.5505881450405067,0.7267809643956886,0.895896366607121,0.9141419140876923,0.5897868030093367,0.7257169202862814,True
ET,partition,KMeans,"{'k': 5, 'n_init': 20}",5,0.2849014062145403,1.4097967146217547,576.7371155849642,0.36597179467902047,0.4589034483154866,0.5918987341772152,0.5691139240506329,0.9720134395070258,1975,0.0,0.3179746835443038,248,628,,True,0.5505881450405067,0.7267809643956886,0.895896366607121,0.9141419140876923,0.5897868030093367,0.7257169202862814,True
ET,partition,KMeans,"{'k': 7, 'n_init': 10}",7,0.27034594014533686,1.3573338513847,502.3259963162279,0.35792753828706364,0.4555147293650909,0.6156962025316456,0.47848101265822784,0.8434408130173042,1975,0.0,0.22886075949367088,121,452,,True,0.5391863366965959,0.7377288171431352,0.8762237886270123,0.907361790453109,0.6440475632150642,0.7294256351133516,True
ET,partition,KMeans,"{'k': 7, 'n_init': 20}",7,0.2652820065804701,1.3767665897211978,502.46694827108143,0.36119423274838824,0.45507852289428735,0.6222784810126583,0.45164556962025315,0.7891671623468518,1975,0.0,0.21721518987341773,138,429,,True,0.5352195794867344,0.7336736294415731,0.8842126316469654,0.906489031795473,0.666952357376318,0.7342729234442454,True
ET,partition,KMeans,"{'k': 9, 'n_init': 10}",9,0.26396918860488255,1.3296609105669495,467.98348258681955,0.2667422122819437,0.4309840363972756,0.6486075949367088,0.43291139240506327,0.7894878968296514,1975,0.0,0.20658227848101265,129,408,,True,0.5341912030076218,0.7435035549761164,0.6532261181063456,0.8582809626835571,0.6668169996618803,0.6704854078598189,True
ET,partition,KMeans,"{'k': 9, 'n_init': 20}",9,0.26684894725568054,1.3206079359772624,468.17075414252804,0.26497045771073047,0.43081273634974826,0.6440506329113924,0.43746835443037974,0.7923686649949143,1975,0.0,0.21468354430379746,120,424,,True,0.5364470192114457,0.7453927128798022,0.6488932154407049,0.8579382268244179,0.6656012457732707,0.6699549487733248,True
ET,partition,KMeans,"{'k': 11, 'n_init': 10}",11,0.223510785054319,1.4234501343746049,428.3567784090337,0.26070791252332504,0.4283693174232617,0.6789873417721519,0.3908860759493671,0.7401676170070012,1975,0.0,0.13569620253164558,108,268,,True,0.5024987129842248,0.723931794149721,0.6384689762684161,0.8530494524364667,0.6876313514395516,0.6593153795889987,True
ET,partition,KMeans,"{'k': 11, 'n_init': 20}",11,0.2493216730480677,1.337704190361409,440.021014839004,0.24544269134690572,0.4106399137472104,0.6506329113924051,0.4151898734177215,0.7510330438212373,1975,0.0,0.18430379746835443,46,364,,True,0.5227172890635943,0.7418250983048065,0.6011372156501219,0.8175765936214785,0.683045878349389,0.6514830556372496,True
ET,partition,KMeans,"{'k': 13, 'n_init': 10}",13,0.23873094535079775,1.3504951543811918,401.08290805113324,0.21893476910429852,0.3863380708235524,0.6415189873417722,0.49063291139240506,0.9214737782762095,1975,0.0,0.1250632911392405,52,247,,True,0.5144211996870878,0.739155903717509,0.5363109418468953,0.7689536473156534,0.6111157632537885,0.6111226206892278,False
ET,partition,KMeans,"{'k': 13, 'n_init': 20}",13,0.25370942042751143,1.3391112540834305,411.47057684972,0.22981353750604386,0.39966663895723964,0.6511392405063291,0.4318987341772152,0.8153588943417974,1975,0.0,0.1837974683544304,46,363,,True,0.5261543658596278,0.7415314748636809,0.562915441912913,0.7956213471577465,0.6558988125592644,0.6340201377582022,False
ET,partition,KMeans,"{'k': 15, 'n_init': 10}",15,0.2495446379285086,1.2983359788029238,384.55690054434865,0.24435459268884518,0.42297450428197986,0.6881012658227849,0.3908860759493671,0.7820777260734723,1975,0.0,0.11088607594936709,36,219,,True,0.522891945293915,0.7500403834890167,0.5984762231782571,0.8422555504874443,0.6699442710684163,0.6531752864281954,True
ET,partition,KMeans,"{'k': 15, 'n_init': 20}",15,0.24915755441035345,1.351510660411813,385.1803424513157,0.20479816746464077,0.4031226082130196,0.649620253164557,0.4010126582278481,0.7186485206291958,1975,0.0,0.17316455696202532,17,342,,True,0.522588729164242,0.7389439898073371,0.5017392692671943,0.8025360247024188,0.6967129309349613,0.6266465879713147,False
ET,partition,KMeans,"{'k': 17, 'n_init': 10}",17,0.24984234943911932,1.292209527039623,371.5697660768078,0.20771273746992322,0.396504749119242,0.6754430379746835,0.4430379746835443,0.8958413060188842,1975,0.0,0.11189873417721519,36,221,,True,0.5231251531877482,0.7513188400510592,0.508866976654136,0.7892950615216794,0.6219332869258734,0.6134767750815565,False
ET,partition,KMeans,"{'k': 17, 'n_init': 20}",17,0.2520945793529298,1.263605488432009,375.1170391904816,0.22042348705908918,0.40629988840095904,0.68,0.41620253164556964,0.823699588841847,1975,0.0,0.1210126582278481,8,239,min_cluster_size<10,False,0.5248894040679054,0.7572878776394854,0.5399516661884629,0.8088931032360119,0.6523788376114663,0.6316131822177099,False
ET,partition,KMeans,"{'k': 19, 'n_init': 10}",19,0.24765717073648666,1.317381328867079,361.16612687957144,0.18392406987662238,0.40043077355052825,0.6749367088607595,0.3670886075949367,0.6791655341555622,1975,0.0,0.09822784810126582,17,194,,True,0.5214134258788351,0.746066035251792,0.4506907580616982,0.7971502219602301,0.7133757068285773,0.6171836259326521,True
ET,partition,KMeans,"{'k': 19, 'n_init': 20}",19,0.2467191884223839,1.3195225254565224,364.6567471100546,0.19030735331629564,0.400849978395107,0.6860759493670886,0.38126582278481014,0.7587464678874265,1975,0.0,0.10734177215189873,17,212,,True,0.5206786713526297,0.7456192143289873,0.4663013546311546,0.7979889638907546,0.6797906267064272,0.6142443585701928,False
ET,partition,MiniBatchKMeans,{'k': 3},3,0.27799056377341924,1.424026006115321,680.4637988790477,0.24301084612521012,0.30135914105577044,0.4870886075949367,0.859240506329114,1.3469139598318347,1975,0.0,0.41265822784810124,502,815,,True,0.5451746391703413,0.7238116223056817,0.5951900326628671,0.598928437614257,0.4315697097622516,0.5698161188987432,False
ET,partition,MiniBatchKMeans,{'k': 5},5,0.23186439554955574,1.6090602694942011,542.2177543073948,0.40579989140193007,0.4706726353065555,0.6344303797468355,0.49721518987341773,0.8978173251653638,1975,0.0,0.2470886075949367,307,488,,True,0.509042389799074,0.6851990162885275,0.993297704953841,0.937689615754913,0.6210993590207168,0.7432381902988883,True
ET,partition,MiniBatchKMeans,{'k': 7},7,0.21784918927226485,1.4624483112090991,467.27545119502236,0.32301262572088935,0.4558322449378637,0.649620253164557,0.44354430379746834,0.8181485736757077,1975,0.0,0.20556962025316455,172,406,,True,0.49806378594576634,0.7157937271236465,0.7908378552779068,0.9079970732460518,0.6547215003620972,0.6967383304337925,True
ET,partition,MiniBatchKMeans,{'k': 9},9,0.21703551287173306,1.4986402135585462,411.3308641855136,0.2731941961144211,0.41278182095935234,0.640506329113924,0.49063291139240506,0.9076328929442952,1975,0.0,0.18329113924050633,67,362,,True,0.4974264046122716,0.7082412682389424,0.6690047244667447,0.8218621056172231,0.6169569518530587,0.6445146787187906,False
ET,partition,MiniBatchKMeans,{'k': 11},11,0.2454840069992407,1.2920526552229157,410.7752616155619,0.24498638779837573,0.38470823697515577,0.640506329113924,0.5103797468354431,0.9562585318557087,1975,0.0,0.16253164556962024,17,321,,True,0.519711110314757,0.751351575770072,0.6000213055269646,0.7656926878918371,0.5964357553522356,0.626776894580164,False
ET,partition,MiniBatchKMeans,{'k': 13},13,0.24861915432291723,1.2759432916979199,390.1924353314469,0.24285439386407578,0.3861444581120352,0.6577215189873418,0.4820253164556962,0.9321270082417261,1975,0.0,0.149873417721519,20,296,,True,0.5221669814455426,0.7547132477956693,0.5948074218710968,0.7685662684446022,0.6066198423695591,0.6290594967391123,False
ET,partition,MiniBatchKMeans,{'k': 15},15,0.23001013043206928,1.342036444835561,378.0953360158326,0.24427334173074935,0.40740199767480545,0.6789873417721519,0.3949367088607595,0.7703361094476795,1975,0.0,0.12354430379746835,20,244,,True,0.5075898787363666,0.7409210514968163,0.5982775204354284,0.8110981952619019,0.6748995174653674,0.6442496402998299,False
ET,partition,MiniBatchKMeans,{'k': 17},17,0.20310498348932016,1.4327778630120651,345.07551813869276,0.24771243894661898,0.4135656818492331,0.7088607594936709,0.36658227848101266,0.7557375473709965,1975,0.0,0.11291139240506329,17,223,,True,0.4865141311479715,0.7219853010822415,0.6066879818707472,0.8234304486469939,0.6810604639888844,0.6413249835118419,False
