fs_method,family,algorithm,params,n_clusters,silhouette,davies_bouldin,calinski_harabasz,ARI,NMI,accuracy_majority,MAE,RMSE,n_points,noise_ratio,largest_cluster_ratio,min_cluster_size,largest_cluster_size
RF,partition,KMeans,"{'k': 17, 'n_init': 20}",17,0.30392284289093857,1.1730663483122106,376.2266400574782,0.19110362189837163,0.3929517492212866,0.6531645569620254,0.3989873417721519,0.7172380216823669,1975,0.0,0.14025316455696202,17,277
RF,partition,KMeans,"{'k': 19, 'n_init': 10}",19,0.3005886099151143,1.1742075688122435,364.87144513348636,0.18472429968255757,0.3883908911119974,0.6617721518987342,0.3959493670886076,0.7228635041068405,1975,0.0,0.1351898734177215,17,267
RF,partition,KMeans,"{'k': 19, 'n_init': 20}",19,0.3005886099151143,1.1742075688122435,364.87144513348636,0.18472429968255757,0.3883908911119974,0.6617721518987342,0.3959493670886076,0.7228635041068405,1975,0.0,0.1351898734177215,17,267
RF,partition,MiniBatchKMeans,{'k': 3},3,0.2601982801085976,1.4637635195168948,601.9549253162268,0.24879431909268487,0.3026230105230927,0.48455696202531645,0.838987341772152,1.3134166479602885,1975,0.0,0.40151898734177216,542,793
RF,partition,MiniBatchKMeans,{'k': 5},5,0.25612400127922974,1.5430704024480186,503.08349476963264,0.3727753749758641,0.4587424161786217,0.6060759493670886,0.5331645569620254,0.9280440845050466,1975,0.0,0.28,256,553
RF,partition,MiniBatchKMeans,{'k': 7},7,0.23702859120922093,1.526249534803062,421.71070037409385,0.2990468251769478,0.39632365952677723,0.590379746835443,0.5508860759493671,0.9589023260406014,1975,0.0,0.20860759493670886,157,412
RF,partition,MiniBatchKMeans,{'k': 9},9,0.26120489514481315,1.3634818384397605,425.09497421198535,0.22915243747326583,0.3753033719739165,0.6060759493670886,0.5610126582278481,1.026238060569781,1975,0.0,0.18177215189873416,127,359
RF,partition,MiniBatchKMeans,{'k': 11},11,0.25419128994466034,1.3477371042511292,396.2486998530301,0.23408451468855554,0.3881907399737246,0.6506329113924051,0.5012658227848101,0.9725342075269777,1975,0.0,0.16354430379746834,102,323
RF,partition,MiniBatchKMeans,{'k': 13},13,0.2751504075816544,1.3230040295167262,379.47155554618143,0.21913612400333168,0.3979089331765319,0.6460759493670886,0.4465822784810127,0.8230846581187016,1975,0.0,0.1539240506329114,72,304
RF,partition,MiniBatchKMeans,{'k': 15},15,0.2624147304337989,1.3185581817756575,365.03178946061905,0.21675382830179904,0.3993264808524373,0.6556962025316456,0.45367088607594935,0.8497207285077234,1975,0.0,0.12253164556962025,28,242
RF,partition,MiniBatchKMeans,{'k': 17},17,0.2636268247199056,1.2732010992906755,350.90436837087884,0.20771218584159662,0.4095736970742394,0.6724050632911392,0.3868354430379747,0.7193527329692853,1975,0.0,0.12253164556962025,25,242
RF,partition,MiniBatchKMeans,{'k': 19},19,0.26888925835702904,1.259126361017121,343.5282518389251,0.1839635304764045,0.389680648847653,0.6612658227848102,0.40151898734177216,0.7315667251985437,1975,0.0,0.11544303797468354,17,228
