fs_method,family,algorithm,params,n_clusters,silhouette,davies_bouldin,calinski_harabasz,ARI,NMI,accuracy_majority,MAE,RMSE,n_points,noise_ratio,largest_cluster_ratio,min_cluster_size,largest_cluster_size
XGB,partition,KMeans,"{'k': 13, 'n_init': 10}",13,0.28568842767011915,1.1840250995059995,413.4744969814884,0.22177802188691753,0.40456203084686904,0.6096202531645569,0.4921518987341772,0.8662446229763525,1975,0.0,0.2020253164556962,2,399
XGB,partition,KMeans,"{'k': 13, 'n_init': 20}",13,0.2692965306860686,1.2251289309227547,413.70958421026785,0.24173886923100796,0.4023043828107749,0.6111392405063291,0.49265822784810126,0.8706174151395685,1975,0.0,0.20303797468354431,2,401
XGB,partition,KMeans,"{'k': 15, 'n_init': 10}",15,0.2827274783408203,1.1868808611661466,408.36464764424267,0.20382271257156512,0.3965017387162524,0.6364556962025316,0.44556962025316454,0.8081859668182969,1975,0.0,0.1589873417721519,2,314
XGB,partition,KMeans,"{'k': 15, 'n_init': 20}",15,0.2827274783408203,1.1868808611661466,408.36464764424267,0.20382271257156512,0.3965017387162524,0.6364556962025316,0.44556962025316454,0.8081859668182969,1975,0.0,0.1589873417721519,2,314
XGB,partition,KMeans,"{'k': 17, 'n_init': 10}",17,0.292036677060476,1.1455372978123868,388.40479481548107,0.1883163506064773,0.3961683093457144,0.64,0.419746835443038,0.750695879699275,1975,0.0,0.1579746835443038,2,312
XGB,partition,KMeans,"{'k': 17, 'n_init': 20}",17,0.27844191815254876,1.1691596595529046,394.4444728220967,0.21498160210031353,0.4212445118703915,0.6794936708860759,0.3615189873417721,0.6832535715515687,1975,0.0,0.11189873417721519,2,221
XGB,partition,KMeans,"{'k': 19, 'n_init': 10}",19,0.2962661070187938,1.089439371240101,384.8699672431181,0.20013134888051196,0.4092310007386395,0.649620253164557,0.4212658227848101,0.7650597726296963,1975,0.0,0.1448101265822785,2,286
XGB,partition,KMeans,"{'k': 19, 'n_init': 20}",19,0.2962661070187938,1.089439371240101,384.8699672431181,0.20013134888051196,0.4092310007386395,0.649620253164557,0.4212658227848101,0.7650597726296963,1975,0.0,0.1448101265822785,2,286
XGB,partition,MiniBatchKMeans,{'k': 3},3,0.2592023442164423,1.4796316736093995,522.5433349942165,0.255890648276631,0.3340855392000951,0.4982278481012658,0.839493670886076,1.323210518379206,1975,0.0,0.43493670886075947,477,859
XGB,partition,MiniBatchKMeans,{'k': 5},5,0.25970281758510755,1.3538157291610664,405.95772771353677,0.3276368836177021,0.4741128689375034,0.590379746835443,0.6126582278481013,1.0394740637042965,1975,0.0,0.31443037974683546,165,621
XGB,partition,MiniBatchKMeans,{'k': 7},7,0.28161078513903565,1.4289308632275473,360.01105712917723,0.3024705187217762,0.4801864756684805,0.6111392405063291,0.44354430379746834,0.7462988847080342,1975,0.0,0.2992405063291139,72,591
