fs_method,family,algorithm,params,n_clusters,silhouette,davies_bouldin,calinski_harabasz,ARI,NMI,accuracy_majority,MAE,RMSE,n_points,noise_ratio,largest_cluster_ratio,min_cluster_size,largest_cluster_size
DT,partition,KMeans,"{'k': 19, 'n_init': 10}",19,0.3623289728528186,0.9581424559134216,642.9155568237185,0.1870859196977027,0.39048700645807244,0.6136708860759493,0.5240506329113924,0.9410470871604484,1975,0.0,0.12354430379746835,2,244
DT,partition,KMeans,"{'k': 19, 'n_init': 20}",19,0.3623289728528186,0.9581424559134216,642.9155568237185,0.1870859196977027,0.39048700645807244,0.6136708860759493,0.5240506329113924,0.9410470871604484,1975,0.0,0.12354430379746835,2,244
DT,partition,MiniBatchKMeans,{'k': 3},3,0.3160897275969738,1.5507278020636903,409.7731586170246,0.09696431489581284,0.13809033525954448,0.34632911392405064,1.339240506329114,1.8392348436582486,1975,0.0,0.5853164556962025,269,1156
DT,partition,MiniBatchKMeans,{'k': 5},5,0.28497229392829054,1.4457110484856042,366.0326111475235,0.22152666633700754,0.29256091419814584,0.5043037974683544,0.7812658227848102,1.2738857131338674,1975,0.0,0.27341772151898736,254,540
DT,partition,MiniBatchKMeans,{'k': 7},7,0.2875116033862496,1.2062178024887653,404.59071316495886,0.16585575303443048,0.26447729756617133,0.49721518987341773,0.8688607594936709,1.4005423904122902,1975,0.0,0.2420253164556962,24,478
DT,partition,MiniBatchKMeans,{'k': 9},9,0.28855342667043754,1.2368830518381158,297.4877256138031,0.2048245821781921,0.3217293638400673,0.5437974683544303,0.810632911392405,1.3722383082699392,1975,0.0,0.2708860759493671,9,535
DT,partition,MiniBatchKMeans,{'k': 11},11,0.2773304757122327,1.4334887949885848,233.724700248708,0.18584872479995163,0.3379011110592289,0.5726582278481013,0.660253164556962,1.151333843962369,1975,0.0,0.14025316455696202,63,277
DT,partition,MiniBatchKMeans,{'k': 13},13,0.2919057706716818,1.235196230243224,285.89624074954264,0.19582269488393786,0.3664266400804493,0.5959493670886076,0.6415189873417722,1.1598777761885959,1975,0.0,0.14936708860759493,24,295
DT,partition,MiniBatchKMeans,{'k': 15},15,0.2897422295061953,1.2461959987681892,285.47633033746195,0.2038908045782829,0.3841317238180068,0.6308860759493671,0.5382278481012658,1.007063659948999,1975,0.0,0.13772151898734178,18,272
DT,partition,MiniBatchKMeans,{'k': 17},17,0.2813839615197762,1.346720124965938,203.812419350446,0.1972048622238446,0.39574701201295354,0.640506329113924,0.5139240506329114,0.9727944869930394,1975,0.0,0.130126582278481,16,257
DT,partition,MiniBatchKMeans,{'k': 19},19,0.29415198361896844,1.0654472749227184,445.2221440262627,0.20661106353712744,0.39987358474724227,0.6531645569620254,0.4789873417721519,0.910695936417636,1975,0.0,0.12253164556962025,2,242
DT,hierarchical,Agglomerative_single,{'k': 3},3,0.820116876043765,0.22308545293095372,210.43335214211527,7.06667170863466e-06,0.004569817156404717,0.22379746835443037,1.3746835443037975,1.724433497145062,1975,0.0,0.9964556962025316,2,1968
DT,hierarchical,Agglomerative_single,{'k': 5},5,0.6565783762525816,0.35120444007896034,199.57514493332948,0.00022612647112177858,0.015697595413777608,0.22987341772151898,1.3726582278481012,1.7323431121541275,1975,0.0,0.9843037974683544,1,1944
DT,hierarchical,Agglomerative_single,{'k': 7},7,0.434491168005392,0.39557395373122983,136.32671017764469,0.00021594531029741327,0.01730259018730003,0.23037974683544304,1.3721518987341772,1.7321969660272252,1975,0.0,0.9827848101265823,1,1941
DT,hierarchical,Agglomerative_single,{'k': 9},9,0.3694426725681775,0.36646602285137375,107.52257071646929,0.0003128912061891151,0.023923598848160824,0.23392405063291138,1.3620253164556961,1.7236992894662135,1975,0.0,0.979746835443038,1,1935
DT,hierarchical,Agglomerative_single,{'k': 11},11,0.336350800496838,0.3508913023736468,86.75873401273492,0.0003309023013011481,0.026113043357667703,0.23493670886075949,1.3584810126582278,1.7200235500301233,1975,0.0,0.979240506329114,1,1934
DT,hierarchical,Agglomerative_single,{'k': 13},13,0.31936849096049913,0.439240139798451,76.40137781406466,0.00048207150650710117,0.039948629543570764,0.2430379746835443,1.3286075949367089,1.6871817562079707,1975,0.0,0.9767088607594937,1,1929
DT,hierarchical,Agglomerative_single,{'k': 15},15,0.3165662161301858,0.42982946611313794,66.91158127243766,0.0004678533972223078,0.04081142928988104,0.24354430379746836,1.3281012658227849,1.6870316977955953,1975,0.0,0.9762025316455696,1,1928
DT,hierarchical,Agglomerative_single,{'k': 17},17,0.1729261537930946,0.4428482600085605,58.98664178930881,0.00045148947197450783,0.042028528259967675,0.2440506329113924,1.3275949367088609,1.6868816260346085,1975,0.0,0.9756962025316456,1,1927
DT,hierarchical,Agglomerative_single,{'k': 19},19,0.07654605310339077,0.4916236920759964,53.566049190142756,0.0005587131618232183,0.04572289032387386,0.24658227848101266,1.32,1.6804158617301939,1975,0.0,0.9721518987341772,1,1920
DT,hierarchical,Agglomerative_complete,{'k': 3},3,0.820116876043765,0.22308545293095372,210.43335214211527,7.06667170863466e-06,0.004569817156404717,0.22379746835443037,1.3746835443037975,1.724433497145062,1975,0.0,0.9964556962025316,2,1968
