fs_method,family,algorithm,params,n_clusters,silhouette,davies_bouldin,calinski_harabasz,ARI,NMI,accuracy_majority,MAE,RMSE,n_points,noise_ratio,largest_cluster_ratio,min_cluster_size,largest_cluster_size
ET,density,DBSCAN,"{'eps': 0.6, 'min_samples': 5}",62,-0.13590907783363806,1.3085828432407767,23.858234946043908,0.05109101624283791,0.29059034179828785,0.7473982970671712,0.26773888363292336,0.5459058939351292,1975,0.4648101265822785,0.11392405063291139,4,225
ET,density,DBSCAN,"{'eps': 0.6, 'min_samples': 10}",17,-0.22214587526494967,1.2605139475212284,37.99121180437166,0.04078806173263963,0.23029747303499726,0.7353896103896104,0.2727272727272727,0.5375509640592592,1975,0.6881012658227849,0.09468354430379747,10,187
ET,density,DBSCAN,"{'eps': 0.6, 'min_samples': 20}",9,-0.24586255077695476,1.2639338528041941,35.538864209597996,0.01878960652060585,0.1667868395670789,0.7667638483965015,0.23323615160349853,0.4829452884162952,1975,0.8263291139240506,0.05012658227848101,21,99
ET,density,DBSCAN,"{'eps': 0.8, 'min_samples': 5}",37,0.0475443745979125,1.3853831792596527,71.17024715401625,0.11428127122869457,0.32801546981953794,0.6386333771353482,0.45137976346911957,0.8077320173340562,1975,0.22936708860759494,0.13822784810126582,4,273
ET,density,DBSCAN,"{'eps': 0.8, 'min_samples': 10}",18,-0.06805465067302552,1.5540274215494705,72.10880924562181,0.08981568168993133,0.3059219633471277,0.6746765249537893,0.37707948243992606,0.6932470679543886,1975,0.4521518987341772,0.12253164556962025,12,242
ET,density,DBSCAN,"{'eps': 0.8, 'min_samples': 20}",10,-0.14221265870354705,1.4258598645274203,79.64481609657186,0.07455281686725591,0.2674673627050544,0.699055330634278,0.3144399460188934,0.5843205450138101,1975,0.6248101265822785,0.11645569620253164,20,230
ET,density,DBSCAN,"{'eps': 1.0, 'min_samples': 5}",23,0.00608927725134134,1.4416194201378243,74.22058951188403,0.18225105066470754,0.3245123304608997,0.4909515469935785,0.7711617046117922,1.179460333517872,1975,0.13265822784810127,0.3924050632911392,4,775
ET,density,DBSCAN,"{'eps': 1.0, 'min_samples': 10}",10,0.1541786568091927,1.8759219362878747,167.8497647341389,0.22669106139271417,0.3581149404054707,0.5769736842105263,0.4710526315789474,0.7556802442693255,1975,0.23037974683544304,0.2810126582278481,11,555
ET,density,DBSCAN,"{'eps': 1.0, 'min_samples': 20}",7,0.03240409031022944,1.792534689483626,154.98006144220886,0.16884250745721338,0.3253691867487501,0.5870337477797514,0.4502664298401421,0.7281451653913324,1975,0.429873417721519,0.25316455696202533,23,500
ET,density,DBSCAN,"{'eps': 1.2, 'min_samples': 5}",16,0.03959243115773544,1.5326886373268067,106.26806144441237,0.18916309244999815,0.32706761661438344,0.45757071547420963,0.8164170826400444,1.2086763431522272,1975,0.08708860759493671,0.43696202531645567,5,863
ET,density,DBSCAN,"{'eps': 1.2, 'min_samples': 10}",7,0.15285870436732737,2.278477244704606,170.66745338136275,0.182876607052649,0.3047308946335506,0.45039085989176186,0.8280216476247745,1.2199484428643466,1975,0.1579746835443038,0.41620253164556964,14,822
ET,density,DBSCAN,"{'eps': 1.2, 'min_samples': 20}",6,0.138999105101052,2.154881685431248,220.83325109835394,0.2082917811423209,0.33334655726315193,0.5263157894736842,0.6440789473684211,1.0358698353506939,1975,0.23037974683544304,0.2951898734177215,21,583
ET,density,DBSCAN,"{'eps': 1.4, 'min_samples': 5}",17,0.06193624270172451,1.4186640378048008,110.46234086148152,0.19144137642062295,0.3374368845837148,0.4499735309687665,0.8353626257278983,1.2274433827302849,1975,0.043544303797468355,0.4567088607594937,5,902
ET,density,DBSCAN,"{'eps': 1.4, 'min_samples': 10}",9,0.11059801885464027,2.1775172134709573,155.61553669625616,0.1905241831689995,0.31911177659618145,0.44725028058361394,0.8372615039281706,1.2281764972582354,1975,0.09772151898734177,0.4379746835443038,8,865
ET,density,DBSCAN,"{'eps': 1.4, 'min_samples': 20}",3,0.2421524762173109,2.9387829538336296,349.3559500111892,0.18201029176155403,0.2945987887464829,0.4341702388242498,0.8567054500918555,1.242983984429434,1975,0.17316455696202532,0.42683544303797466,321,843
ET,density,OPTICS,"{'min_samples': 5, 'xi': 0.03}",110,-0.15224602735027165,1.1857236424156936,15.746916518490707,0.025984920447064644,0.302229528731725,0.8931937172774869,0.1099476439790576,0.34092574923602736,1975,0.5164556962025316,0.012658227848101266,5,25
ET,density,OPTICS,"{'min_samples': 5, 'xi': 0.05}",98,-0.2020056743589737,1.1529032528852172,14.41459560507634,0.02142384875878318,0.2888630057001518,0.9005988023952096,0.1029940119760479,0.3319331871304267,1975,0.5772151898734177,0.012151898734177215,5,24
ET,density,OPTICS,"{'min_samples': 10, 'xi': 0.03}",37,-0.22534834172238233,1.3579809450044704,24.209109034898038,0.019359272622161056,0.2447381894365222,0.784656796769852,0.2395693135935397,0.5391783789811122,1975,0.6237974683544304,0.019240506329113925,10,38
ET,density,OPTICS,"{'min_samples': 10, 'xi': 0.05}",28,-0.2713076669579598,1.2589465251937428,25.034315772968995,0.023171684336644762,0.2412410897862253,0.8211243611584327,0.20954003407155025,0.5237136427066511,1975,0.7027848101265822,0.02430379746835443,10,48
ET,density,OPTICS,"{'min_samples': 20, 'xi': 0.03}",14,-0.18358583732972542,1.263187172816364,48.97270614437883,0.02553902516386348,0.21735998144421434,0.7555555555555555,0.2611111111111111,0.5426273532033236,1975,0.7265822784810126,0.062278481012658225,20,123
ET,density,OPTICS,"{'min_samples': 20, 'xi': 0.05}",11,-0.24641301517956257,1.2064716693562352,37.32313988539643,0.018939216389795666,0.1843730586623817,0.8438438438438438,0.19519519519519518,0.522755462212757,1975,0.8313924050632912,0.021772151898734177,20,43
ET,model,GMM,"{'n_components': 3, 'covariance_type': 'full'}",3,0.28936268712125157,1.8596489192446624,457.13138432331476,0.09408444350516733,0.14409868859295125,0.34227848101265823,1.4354430379746836,1.9402466240211105,1975,0.0,0.4820253164556962,73,952
ET,model,GMM,"{'n_components': 3, 'covariance_type': 'tied'}",3,0.2548873719146246,1.3481417560886835,602.3630284756699,0.12527583523044467,0.1873617480355967,0.4156962025316456,1.1853164556962026,1.7416709567306299,1975,0.0,0.5032911392405063,281,994
ET,model,GMM,"{'n_components': 3, 'covariance_type': 'diag'}",3,0.2638421217285973,1.3712440154480472,520.0963933797946,0.09165732030388993,0.14968865230228504,0.36658227848101266,1.3554430379746836,1.8808831752629778,1975,0.0,0.5032911392405063,97,994
ET,model,GMM,"{'n_components': 3, 'covariance_type': 'spherical'}",3,0.20476093039198853,1.8699666851209173,492.5744685107412,0.19712635066851983,0.24280354816510802,0.4481012658227848,0.9584810126582278,1.4961554105968498,1975,0.0,0.3888607594936709,453,768
ET,model,GMM,"{'n_components': 5, 'covariance_type': 'full'}",5,0.2479160326177313,1.9189759129087869,459.66422534169084,0.35996224435577545,0.44410768139205614,0.5589873417721519,0.6789873417721519,1.1387312504535447,1975,0.0,0.2582278481012658,100,510
ET,model,GMM,"{'n_components': 5, 'covariance_type': 'tied'}",5,0.2718235656544707,1.4602175652347398,551.728829212959,0.33650839160758234,0.414801828569179,0.5675949367088607,0.6486075949367088,1.093826172754397,1975,0.0,0.3032911392405063,229,599
ET,model,GMM,"{'n_components': 5, 'covariance_type': 'diag'}",5,0.25382267223710386,1.6846364669220582,467.5097830186504,0.3547003192188291,0.44333872633472077,0.550379746835443,0.7083544303797469,1.1767795573438036,1975,0.0,0.2663291139240506,84,526
ET,model,GMM,"{'n_components': 5, 'covariance_type': 'spherical'}",5,0.17799084578449262,1.895263884904438,320.228868032011,0.25704076936437426,0.3789197154214726,0.5270886075949367,0.7827848101265823,1.3372936963807713,1975,0.0,0.3924050632911392,155,775
ET,model,GMM,"{'n_components': 7, 'covariance_type': 'full'}",7,0.22150432394895322,1.584223196138008,427.58135757609557,0.3766637732273934,0.4805165893946398,0.6455696202531646,0.5073417721518987,0.9870041616882238,1975,0.0,0.21417721518987343,128,423
ET,model,GMM,"{'n_components': 7, 'covariance_type': 'tied'}",7,0.28084285363108563,1.4123929085151323,442.83864116803994,0.28269021095189095,0.38874848802618145,0.5559493670886076,0.739240506329114,1.2373921126733956,1975,0.0,0.3326582278481013,44,657
ET,model,GMM,"{'n_components': 7, 'covariance_type': 'diag'}",7,0.20375993756636923,1.551929993978479,415.36849944575346,0.4085405072897085,0.47622539691384724,0.6481012658227848,0.4729113924050633,0.892727296164095,1975,0.0,0.22936708860759494,84,453
ET,model,GMM,"{'n_components': 7, 'covariance_type': 'spherical'}",7,0.2197267954293613,1.9532731468701598,353.3323917453888,0.30019921355906914,0.4260485085291158,0.5858227848101266,0.6070886075949367,1.1244126455480454,1975,0.0,0.22278481012658227,133,440
ET,model,GMM,"{'n_components': 9, 'covariance_type': 'full'}",9,0.2157666312499891,1.6441180691359407,372.4691502823591,0.30272727732251137,0.4714040761700753,0.6384810126582279,0.43746835443037974,0.7974643359352239,1975,0.0,0.22227848101265824,40,439
ET,model,GMM,"{'n_components': 9, 'covariance_type': 'tied'}",9,0.2597295892735651,1.4119460209578907,407.4419712427347,0.24180903589522484,0.40283682234238277,0.5767088607594937,0.6227848101265823,1.0592569643177694,1975,0.0,0.2759493670886076,41,545
ET,model,GMM,"{'n_components': 9, 'covariance_type': 'diag'}",9,0.20444893757877278,1.5626119291127583,391.1598989738589,0.3174232133403749,0.4708718008928831,0.6683544303797468,0.4131645569620253,0.7917294001349039,1975,0.0,0.1888607594936709,40,373
ET,model,GMM,"{'n_components': 9, 'covariance_type': 'spherical'}",9,0.1877903474092235,1.8051325090223809,299.3606145912544,0.23211485187050354,0.4068347458889247,0.5974683544303797,0.5924050632911393,1.122835470436736,1975,0.0,0.21113924050632912,118,417
ET,model,GMM,"{'n_components': 11, 'covariance_type': 'full'}",11,0.18442756734424579,1.567257059768857,355.83026649348756,0.299978626301351,0.4808088173096645,0.6850632911392405,0.37518987341772153,0.7267057628936108,1975,0.0,0.1549367088607595,40,306
ET,model,GMM,"{'n_components': 11, 'covariance_type': 'tied'}",11,0.20274099711322666,1.49802167420469,363.3801446194229,0.22352467684953203,0.37934786441368007,0.6075949367088608,0.5513924050632911,0.9644307037203248,1975,0.0,0.16455696202531644,41,325
ET,model,GMM,"{'n_components': 11, 'covariance_type': 'diag'}",11,0.20917685161427957,1.508414962942162,338.60533390137255,0.23797825252208124,0.38317025268107374,0.5929113924050633,0.5858227848101266,1.0105769751903169,1975,0.0,0.1908860759493671,27,377
ET,model,GMM,"{'n_components': 11, 'covariance_type': 'spherical'}",11,0.141491145542325,1.7474058875116194,262.4265635007698,0.22305206733895114,0.4048961380094419,0.6516455696202532,0.5412658227848102,1.1053380260801373,1975,0.0,0.20050632911392405,116,396
ET,model,GMM,"{'n_components': 13, 'covariance_type': 'full'}",13,0.12989920481083791,1.7526788326836835,270.30824365231507,0.22844786014864327,0.4056216684288829,0.6273417721518987,0.5524050632911393,1.008570865072662,1975,0.0,0.1691139240506329,37,334
