segmentId,name_vn,lat_start,lon_start,lat_end,lon_end,speedLimit,currentSpeed,freeFlowSpeed,congestionIndex,trafficVolume,crossTime,traffic_label,cluster_label_RF,speed_drop,congestion_level_desc,congestion_score
292a3feab9327edd0394ed3845c696e4,Đường Quốc Lộ 1A,10.7443078,106.6957432,10.8671265,106.7881544,50.0,29.5,39.0,0.7564102564102564,1596.92,0.0610169491525423,D,1,9.5,Tương đối thoáng,0.4107592481806757
798016db3d58f253bb6838065124c4b4,Hẻm 574 Kinh Dương Vương,10.7321249,106.6096162,10.731368,106.6109526,50.0,25.0,35.0,0.7142857142857143,874.29,0.072,D,3,10.0,Tương đối thoáng,0.36545104717051957
46f5da33523dee74042c58e5d7affd5b,Đường Mai Chí Thọ,10.8081678,106.7557179,10.8085665,106.7559278,80.0,49.0,49.0,1.0,1080.0,0.036734693877551,E,1,0.0,Thông thoáng,0.427760266961234
46fc423d727b252cc98937db8a8b6798,Hẻm 63 Lý Thường Kiệt,10.7677013,106.6588507,10.7592404,106.6612178,50.0,17.0,31.0,0.5483870967741935,1759.35,0.1058823529411764,B,3,14.0,Đông,0.35051931252006996
f2fbb2eef056e070163a8bae20780e93,Đường Lê Đức Thọ,10.8515063,106.6622383,10.8472382,106.6693689,50.0,25.5,41.5,0.6144578313253012,1053.98,0.0705882352941176,D,1,16.0,Tương đối thoáng,0.3776315073623489
a7c3f9d711cf939db279fdcfb5ff8d0d,Công Trường Dân Chủ,10.7775778,106.6815724,10.7775778,106.6815724,50.0,19.0,34.0,0.5588235294117647,2308.24,0.0947368421052631,B,3,15.0,Đông,0.3868809038053452
d9f08bb369d8a76c946053c9dc973675,Đường Vành Đai 2,10.7568077,106.7614378,10.7917842,106.7927383,50.0,33.0,38.0,0.868421052631579,1193.68,0.0545454545454545,E,1,5.0,Thông thoáng,0.4109208938011278
19c8635315668853c94cc17a523ee97f,Đường Bình Chiểu,10.8878174,106.7287564,10.8878003,106.728711,50.0,24.0,38.0,0.631578947368421,2046.32,0.075,D,1,14.0,Tương đối thoáng,0.4055948792728685
738526ef06112b5a346a6f5dc66f120d,Đường Tô Hiến Thành,10.7808937,106.6698201,10.7793615,106.6704423,50.0,20.0,31.0,0.6451612903225806,1498.06,0.09,C,3,11.0,Trung bình,0.3626094465987451
a4d374f3e70ec93c99bbf72d6db15a75,Đường Đồng Văn Cống,10.7698762,106.7752086,10.7698083,106.775235,60.0,32.0,32.0,1.0,720.0,0.0562499999999999,E,1,0.0,Thông thoáng,0.413880133480617
b23cf7a2151170ab26baf9f070c25912,Hẻm 101 Thành Thái,10.7782236,106.6617292,10.7739209,106.6645769,50.0,22.5,32.5,0.6923076923076923,2741.54,0.08,C,3,10.0,Trung bình,0.4258175180248118
3dc3aeb6ac2cd4c7167f26a1d7f12ea3,Đường Quốc Lộ 1A,10.8753473,106.7511683,10.8754506,106.7515008,50.0,30.0,48.0,0.625,2070.0,0.06,D,1,18.0,Tương đối thoáng,0.4417370856458339
d1a299017f3767c5c0ce6f5ededa0f9d,Đường Nguyễn Trọng Tuyển,10.7980849,106.6699079,10.7984011,106.6665835,50.0,16.5,31.5,0.5238095238095238,1217.14,0.1090909090909091,B,3,15.0,Đông,0.3262889941335382
624b12699f6b0603b67348a78d50101a,Đường Nguyễn Đình Chiểu,10.7803604,106.6918856,10.767872,106.6800536,50.0,16.0,26.0,0.6153846153846154,1578.46,0.1124999999999999,B,3,10.0,Đông,0.34027910214115936
309416b616752c1e32c69af3a4c8917d,Đường Bàu Cát,10.7924125,106.6418466,10.7926149,106.6419251,50.0,18.0,31.0,0.5806451612903226,2229.68,0.1,B,3,13.0,Đông,0.3760414587101526
b3f614c6deb5a73ca31654f6aff3780e,Đường Nguyễn Thị Nhỏ,10.7595294,106.6669516,10.756343,106.6510842,50.0,16.0,28.0,0.5714285714285714,2828.57,0.1124999999999999,B,3,12.0,Đông,0.3845789247318935
a43855d734537d6695bde9802e663a0e,Đường Tên Lửa,10.7383637,106.6150634,10.73825,106.6149888,50.0,24.0,35.0,0.6857142857142857,1851.43,0.075,D,3,11.0,Tương đối thoáng,0.39768779701111445
2c2cf7de99d1512a422bc3afcdf54213,Hẻm 335 Hồng Bàng,10.7546298,106.636522,10.7543494,106.6365345,50.0,23.5,35.0,0.6714285714285714,2854.29,0.076595744680851,D,3,11.5,Tương đối thoáng,0.43363509928626315
f8ee7133cfe997e68f6ffe6ccfe071fa,Lê Quý Đôn,10.8838307,106.8004621,10.8810953,106.8015806,40.0,41.0,57.0,0.7192982456140351,1730.53,0.0439024390243902,E,1,16.0,Thông thoáng,0.4591804804319134
e8d90eb9032231c4be24225137eedb98,Đường Tam Bình,10.845997,106.7287514,10.8560454,106.7381233,50.0,33.0,42.0,0.7857142857142857,1491.43,0.0545454545454545,E,1,9.0,Thông thoáng,0.4173560506272716
1672c01722daa83cae69a3a0af7eea45,Đường Hồng Bàng,10.7534697,106.6530134,10.753623,106.6478806,50.0,23.0,35.0,0.6571428571428571,1954.29,0.0782608695652174,C,3,12.0,Trung bình,0.3962158715755042
